OBJECTID,id,grid_4ha_id,lon,lat,lp_ext_2012,lp_ext_2015,lp_ext_2018,lp_ext_2022,du_cnt_2012,du_cnt_2015,du_cnt_2018,du_cnt_2022,clq_ext_sqm_2012,clq_ext_sqm_2015,clq_ext_sqm_2018,clq_ext_sqm_2022,mlt_ext_sqm_2012,mlt_ext_sqm_2015,mlt_ext_sqm_2018,mlt_ext_sqm_2022,sq_ext_sqm_2012,sq_ext_sqm_2015,sq_ext_sqm_2018,sq_ext_sqm_2022,du_cnt_w_clq_mlt_2012,du_cnt_w_clq_mlt_2015,du_cnt_w_clq_mlt_2018,du_cnt_w_clq_mlt_2022,dens_grs_duha_2012,dens_grs_duha_2015,dens_grs_duha_2018,dens_grs_duha_2022,d_dens_grs_duha_12_15,d_dens_grs_duha_12_18,d_dens_grs_duha_12_22,d_dens_grs_duha_15_18,d_dens_grs_duha_15_22,d_dens_grs_duha_18_22,DISTRICTNA,Shape_Length,Shape_Area
22662,7728,W46D_12_22662,18.5268035,-34.03189216,877.7070664,877.7070664,877.7070664,877.7070664,29,28,29,29,0,0,0,0,0,0,0,0,0,17,17,0,29,28,29,29,7,7,7,7,0,0,0,0,0,0,Cape Flats,799.9999883,39999.99883
22663,205,W46D_12_22663,18.5289691,-34.03190048,9757.965146,9757.965146,9757.965146,9757.965146,10,13,14,14,0,0,0,0,0,0,0,0,0,0,0,0,10,13,14,14,2,3,3,3,1,1,1,0,0,0,Cape Flats,800.0000185,40000.00185
22664,7725,W46D_12_22664,18.53113469,-34.03190875,9840.864094,9840.864094,9840.864094,9840.864094,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,1,1,1,1,0,0,0,0,0,0,Cape Flats,800.0000185,40000.00185
22665,15089,W46D_12_22665,18.53330029,-34.03191699,19100.72754,19100.72754,19100.72754,19100.72754,5,5,5,5,0,0,0,0,0,0,0,0,49,49,0,0,5,5,5,5,1,1,1,1,0,0,0,0,0,0,Cape Flats,799.9999883,39999.99883
22666,15248,W46D_13_22666,18.53546589,-34.03192519,16199.75518,16199.75518,16199.75518,16199.75518,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,Cape Flats,800.0000185,40000.00185
22667,15090,W46D_13_22667,18.53763149,-34.03193335,16127.46807,16127.46807,16127.46807,16127.46807,9,9,9,9,54,54,22,0,0,0,0,0,0,0,0,0,11.7,11.7,10.1,9,2,2,2,2,0,0,0,0,0,0,Cape Flats,800.0000185,40000.00185
22669,15778,W46D_13_22669,18.54196269,-34.03194956,0,0,0,32204.02959,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cape Flats,800.0000185,40000.00185
22670,15247,W46D_13_22670,18.54412829,-34.03195761,16236.67429,16236.67429,16236.67429,40188.7795,5,5,5,9,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,9,1,1,1,2,0,0,1,0,1,1,Cape Flats,800.0000185,40000.00185
22679,16004,W46D_15_22679,18.56361873,-34.03202832,43126.96875,43126.96875,43126.96875,43126.96875,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,0,0,0,1,0,0,1,0,1,1,Cape Flats,800.0000185,40000.00185
22681,17474,W36C_11_22681,18.56794995,-34.03204362,97647.84705,97647.84705,97647.84705,97647.84705,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,Cape Flats,799.9999883,39999.99883
22682,17275,W36C_11_22682,18.57011556,-34.03205121,0,0,0,12204.20079,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Cape Flats,800.0000185,40000.00185
22687,7049,W36C_12_22687,18.58094363,-34.03208859,619.3523283,619.3523283,619.3523283,619.3523283,20,20,22,22,0,68,0,0,0,0,0,0,0,29,58,58,20,23.4,22,22,5,5,5,5,0,0,0,0,0,0,Khayelitsha/Mitchells Plain,800.0000185,40000.00185
22688,7050,W36C_12_22688,18.58310924,-34.03209595,690.3344473,690.3344473,690.3344473,690.3344473,50,51,54,56,0,182,94,94,0,0,0,0,22,22,57,21,50,60.1,58.7,60.7,12,12,13,14,0,1,2,1,2,1,Khayelitsha/Mitchells Plain,799.9999883,39999.99883
22689,8440,W36C_12_22689,18.58527486,-34.03210327,552.4139868,552.4139868,552.4139868,552.4139868,75,76,78,81,0,85,129,129,0,0,0,0,0,59,73,142,75,80.25,84.45,87.45,18,19,19,20,1,1,2,0,1,1,Khayelitsha/Mitchells Plain,800.0000185,40000.00185
22690,8441,W36C_12_22690,18.58744048,-34.03211056,12607.34427,12607.34427,12607.34427,319.7464433,113,138,138,134,0,0,0,20,0,0,0,0,0,0,44,44,113,138,138,135,28,34,34,33,6,6,5,0,-1,-1,Khayelitsha/Mitchells Plain,800.0000185,40000.00185
